日期,销量
2021-01-01,304
2021-01-02,376
2021-01-03,382
2021-01-04,331
2021-01-05,373
2021-01-06,375
2021-01-07,374
2021-01-08,345
2021-01-09,430
2021-01-10,414
2021-01-11,429
2021-01-12,434
2021-01-13,411
2021-01-14,387
2021-01-15,463
2021-01-16,402
2021-01-17,438
2021-01-18,425
2021-01-19,430
2021-01-20,423
2021-01-21,418
2021-01-22,436
2021-01-23,428
2021-01-24,494
2021-01-25,516
2021-01-26,500
2021-01-27,447
2021-01-28,459
2021-01-29,453
2021-01-30,519
2021-01-31,526
2021-02-01,525
2021-02-02,485
2021-02-03,535
2021-02-04,482
2021-02-05,528
2021-02-06,496
2021-02-07,544
2021-02-08,532
2021-02-09,532
2021-02-10,526
2021-02-11,546
2021-02-12,531
2021-02-13,546
2021-02-14,575
2021-02-15,589
2021-02-16,567
2021-02-17,549
2021-02-18,547
2021-02-19,584
2021-02-20,585
2021-02-21,613
2021-02-22,617
2021-02-23,658
2021-02-24,578
2021-02-25,646
2021-02-26,668
2021-02-27,608
2021-02-28,616
2021-03-01,664
2021-03-02,657
2021-03-03,701
2021-03-04,615
2021-03-05,650
2021-03-06,698
2021-03-07,647
2021-03-08,704
2021-03-09,716
2021-03-10,667
2021-03-11,708
2021-03-12,698
2021-03-13,696
2021-03-14,728
2021-03-15,727
2021-03-16,751
2021-03-17,766
2021-03-18,732
2021-03-19,720
2021-03-20,721
2021-03-21,701
2021-03-22,780
2021-03-23,714
2021-03-24,723
2021-03-25,803
2021-03-26,817
2021-03-27,743
2021-03-28,730
2021-03-29,749
2021-03-30,776
2021-03-31,782
2021-04-01,836
2021-04-02,796
2021-04-03,822
2021-04-04,794
2021-04-05,824
2021-04-06,865
2021-04-07,857
2021-04-08,819
2021-04-09,813
2021-04-10,810
2021-04-11,813
2021-04-12,869
2021-04-13,879
2021-04-14,844
2021-04-15,891
2021-04-16,893
2021-04-17,900
2021-04-18,915
2021-04-19,901
2021-04-20,893
2021-04-21,870
2021-04-22,876
2021-04-23,866
2021-04-24,873
2021-04-25,931
2021-04-26,886
2021-04-27,917
2021-04-28,977
2021-04-29,901
2021-04-30,951
2021-05-01,954
2021-05-02,911
2021-05-03,949
2021-05-04,932
2021-05-05,945
2021-05-06,985
2021-05-07,941
2021-05-08,974
2021-05-09,993
2021-05-10,1019
2021-05-11,952
2021-05-12,986
2021-05-13,1052
2021-05-14,995
2021-05-15,994
2021-05-16,991
2021-05-17,1060
2021-05-18,1076
2021-05-19,1011
2021-05-20,996
2021-05-21,1045
2021-05-22,1041
2021-05-23,1031
2021-05-24,1039
2021-05-25,1101
2021-05-26,1044
2021-05-27,1070
2021-05-28,1046
2021-05-29,1068
2021-05-30,1045
2021-05-31,1131
2021-06-01,1141
2021-06-02,1148
2021-06-03,1137
2021-06-04,1084
2021-06-05,1104
2021-06-06,1162
2021-06-07,1160
2021-06-08,1143
2021-06-09,1143
2021-06-10,1105
2021-06-11,1155
2021-06-12,1132
2021-06-13,1195
2021-06-14,1136
2021-06-15,1171
2021-06-16,1221
2021-06-17,1173
2021-06-18,1183
2021-06-19,1243
2021-06-20,1243
2021-06-21,1238
2021-06-22,1251
2021-06-23,1221
2021-06-24,1175
2021-06-25,1269
2021-06-26,1246
2021-06-27,1209
2021-06-28,1285
2021-06-29,1250
2021-06-30,1229
2021-07-01,1257
2021-07-02,1250
2021-07-03,1284
2021-07-04,1317
2021-07-05,1279
2021-07-06,1313
2021-07-07,1258
2021-07-08,1255
2021-07-09,1267
2021-07-10,1277
2021-07-11,1282
2021-07-12,1344
2021-07-13,1299
2021-07-14,1343
2021-07-15,1367
2021-07-16,1326
2021-07-17,1374
2021-07-18,1352
2021-07-19,1383
2021-07-20,1342
2021-07-21,1351
2021-07-22,1369
2021-07-23,1317
2021-07-24,1324
2021-07-25,1424
2021-07-26,1333
2021-07-27,1389
2021-07-28,1341
2021-07-29,1363
2021-07-30,1350
2021-07-31,1381
2021-08-01,1457
2021-08-02,1410
2021-08-03,1457
2021-08-04,1439
2021-08-05,1457
2021-08-06,1478
2021-08-07,1485
2021-08-08,1431
2021-08-09,1444
2021-08-10,1495
2021-08-11,1414
2021-08-12,1505
2021-08-13,1498
2021-08-14,1425
2021-08-15,1490
2021-08-16,1533
2021-08-17,1525
2021-08-18,1474
2021-08-19,1466
2021-08-20,1514
2021-08-21,1524
2021-08-22,1558
2021-08-23,1487
2021-08-24,1476
2021-08-25,1568
2021-08-26,1558
2021-08-27,1581
2021-08-28,1547
2021-08-29,1503
2021-08-30,1568
2021-08-31,1535
2021-09-01,1604
2021-09-02,1564
2021-09-03,1532
2021-09-04,1570
2021-09-05,1633
2021-09-06,1564
2021-09-07,1588
2021-09-08,1604
2021-09-09,1600
2021-09-10,1635
2021-09-11,1615
2021-09-12,1586
2021-09-13,1597
2021-09-14,1580
2021-09-15,1642
2021-09-16,1631
2021-09-17,1630
2021-09-18,1617
2021-09-19,1651
2021-09-20,1614
2021-09-21,1670
2021-09-22,1683
2021-09-23,1699
2021-09-24,1656
2021-09-25,1711
2021-09-26,1679
2021-09-27,1741
2021-09-28,1711
2021-09-29,1696
2021-09-30,1684
2021-10-01,1738
2021-10-02,1752
2021-10-03,1720
2021-10-04,1778
2021-10-05,1770
2021-10-06,1716
2021-10-07,1735
2021-10-08,1714
2021-10-09,1712
2021-10-10,1733
2021-10-11,1739
2021-10-12,1815
2021-10-13,1800
2021-10-14,1764
2021-10-15,1770
2021-10-16,1803
2021-10-17,1835
2021-10-18,1839
2021-10-19,1797
2021-10-20,1768
2021-10-21,1820
2021-10-22,1770
2021-10-23,1849
2021-10-24,1869
2021-10-25,1848
2021-10-26,1869
2021-10-27,1835
2021-10-28,1820
2021-10-29,1892
2021-10-30,1884
2021-10-31,1864
2021-11-01,1848
2021-11-02,1885
2021-11-03,1887
2021-11-04,1914
2021-11-05,1937
2021-11-06,1880
2021-11-07,1903
2021-11-08,1893
2021-11-09,1864
2021-11-10,1916
2021-11-11,1893
2021-11-12,1953
2021-11-13,1978
2021-11-14,1928
2021-11-15,1917
2021-11-16,1988
2021-11-17,1921
2021-11-18,1908
2021-11-19,1934
2021-11-20,1987
2021-11-21,1923
2021-11-22,1936
2021-11-23,2027
2021-11-24,1960
2021-11-25,1955
2021-11-26,2035
2021-11-27,2021
2021-11-28,1955
2021-11-29,2055
2021-11-30,2048
2021-12-01,1978
2021-12-02,2017
2021-12-03,2077
2021-12-04,2050
2021-12-05,2023
2021-12-06,2082
2021-12-07,2047
2021-12-08,2097
2021-12-09,2050
2021-12-10,2101
2021-12-11,2119
2021-12-12,2123
2021-12-13,2030
2021-12-14,2059
2021-12-15,2084
2021-12-16,2060
2021-12-17,2127
2021-12-18,2152
2021-12-19,2122
2021-12-20,2072
2021-12-21,2122
2021-12-22,2141
2021-12-23,2100
2021-12-24,2132
2021-12-25,2185
2021-12-26,2167
2021-12-27,2184
2021-12-28,2121
2021-12-29,2173
2021-12-30,2134
2021-12-31,2150
