日期,销量
2019-01-01,301
2019-01-02,351
2019-01-03,394
2019-01-04,336
2019-01-05,352
2019-01-06,381
2019-01-07,426
2019-01-08,388
2019-01-09,348
2019-01-10,349
2019-01-11,394
2019-01-12,379
2019-01-13,381
2019-01-14,379
2019-01-15,458
2019-01-16,459
2019-01-17,408
2019-01-18,444
2019-01-19,454
2019-01-20,465
2019-01-21,454
2019-01-22,485
2019-01-23,428
2019-01-24,438
2019-01-25,440
2019-01-26,499
2019-01-27,510
2019-01-28,477
2019-01-29,523
2019-01-30,451
2019-01-31,540
2019-02-01,490
2019-02-02,481
2019-02-03,504
2019-02-04,482
2019-02-05,546
2019-02-06,566
2019-02-07,558
2019-02-08,492
2019-02-09,589
2019-02-10,514
2019-02-11,599
2019-02-12,596
2019-02-13,594
2019-02-14,567
2019-02-15,587
2019-02-16,540
2019-02-17,577
2019-02-18,540
2019-02-19,643
2019-02-20,645
2019-02-21,578
2019-02-22,621
2019-02-23,572
2019-02-24,592
2019-02-25,621
2019-02-26,654
2019-02-27,684
2019-02-28,624
2019-03-01,600
2019-03-02,614
2019-03-03,673
2019-03-04,707
2019-03-05,623
2019-03-06,709
2019-03-07,722
2019-03-08,653
2019-03-09,654
2019-03-10,733
2019-03-11,683
2019-03-12,695
2019-03-13,685
2019-03-14,681
2019-03-15,735
2019-03-16,723
2019-03-17,734
2019-03-18,708
2019-03-19,697
2019-03-20,746
2019-03-21,786
2019-03-22,763
2019-03-23,740
2019-03-24,767
2019-03-25,764
2019-03-26,780
2019-03-27,774
2019-03-28,804
2019-03-29,787
2019-03-30,798
2019-03-31,788
2019-04-01,782
2019-04-02,837
2019-04-03,839
2019-04-04,857
2019-04-05,792
2019-04-06,850
2019-04-07,781
2019-04-08,807
2019-04-09,814
2019-04-10,862
2019-04-11,816
2019-04-12,829
2019-04-13,866
2019-04-14,864
2019-04-15,887
2019-04-16,863
2019-04-17,861
2019-04-18,846
2019-04-19,872
2019-04-20,848
2019-04-21,888
2019-04-22,879
2019-04-23,900
2019-04-24,890
2019-04-25,950
2019-04-26,970
2019-04-27,891
2019-04-28,894
2019-04-29,946
2019-04-30,979
2019-05-01,968
2019-05-02,979
2019-05-03,918
2019-05-04,1012
2019-05-05,968
2019-05-06,969
2019-05-07,932
2019-05-08,968
2019-05-09,943
2019-05-10,1007
2019-05-11,1017
2019-05-12,1018
2019-05-13,977
2019-05-14,1032
2019-05-15,971
2019-05-16,1007
2019-05-17,1000
2019-05-18,1032
2019-05-19,1067
